hostname,mac,ip_address,netmask,gateway,nameservers,labels,disk
thekubernerd,1c:69:7a:6b:a9:0d,10.10.12.10,255.255.252.0,10.10.12.1,10.10.12.10|8.8.8.8|8.8.4.4,node=admin,/dev/sda
eks-gpu-01,10:bf:48:86:f4:65,10.10.12.113,255.255.252.0,10.10.12.1,10.10.12.10|8.8.8.8|8.8.4.4,node=gpu-machine,/dev/sda
