hostname,mac,ip_address,netmask,gateway,nameservers,labels,disk
thekubernerd,1c:69:7a:6b:a9:0d,10.10.12.10,255.255.252.0,10.10.12.1,10.10.12.10|8.8.8.8|8.8.4.4,node=admin,/dev/sda
eks-mgmt-01,88:ae:dd:0b:90:70,10.10.12.111,255.255.252.0,10.10.12.1,10.10.12.10|8.8.8.8|8.8.4.4,node=cp-machine,/dev/sda
eks-mgmt-02,1c:69:7a:ab:23:50,10.10.12.112,255.255.252.0,10.10.12.1,10.10.12.10|8.8.8.8|8.8.4.4,node=cp-machine,/dev/sda
eks-mgmt-03,88:ae:dd:0b:af:9c,10.10.12.113,255.255.252.0,10.10.12.1,10.10.12.10|8.8.8.8|8.8.4.4,node=cp-machine,/dev/sda
